id,car_name,yr_mfr,fuel_type,kms_run,sale_price,body_type,transmission,make,model,total_owners,orginal_price,reserved,warranty_avail,paint,damage,no_of_service,bs
1124,ford ecosport,2014,petrol,63766,606129,suv,automatic,ford,ecosport,2,615729,FALSE,FALSE,Yes,Yes,3,5
1125,volkswagen polo,2016,petrol,53799,599023,hatchback,manual,volkswagen,polo,1,,FALSE,FALSE,No,No,4,1
1126,ford ecosport,2015,diesel,69479,691609,suv,manual,ford,ecosport,1,704773,FALSE,FALSE,No,Yes,1,1
1127,volkswagen polo,2018,petrol,15934,921568,hatchback,manual,volkswagen,polo,1,969480,FALSE,FALSE,No,No,0,2
1128,renault captur,2019,petrol,30902,826550,suv,,renault,captur,1,833151,FALSE,FALSE,No,Yes,0,4
1129,hyundai verna,2018,petrol,31913,886879,sedan,manual,hyundai,verna,1,892914,FALSE,FALSE,No,Yes,1,5
1130,renault duster,2017,petrol,30059,668151,suv,manual,renault,duster,2,,FALSE,FALSE,Yes,Yes,0,4
1131,maruti alto,2009,petrol,67415,232668,hatchback,manual,maruti,alto,2,,FALSE,FALSE,No,No,5,1
1132,hyundai i10,2007,petrol,72432,236773,hatchback,manual,hyundai,i10,2,240073,FALSE,FALSE,No,No,3,2
1133,maruti dzire,2017,diesel,55499,666699,sedan,manual,maruti,dzire,1,674905,FALSE,FALSE,Yes,No,0,5
1134,maruti wagon r 1.0,2013,petrol,59930,342106,hatchback,manual,maruti,wagon r 1.0,1,416318,FALSE,FALSE,No,Yes,4,3
1135,ford ecosport,2018,petrol,40179,900717,suv,,ford,ecosport,1,927061,FALSE,FALSE,No,Yes,0,3
1136,renault kwid,2016,petrol,68833,272035,hatchback,manual,renault,kwid,1,272135,FALSE,FALSE,Yes,Yes,0,4
1137,maruti celerio,2017,petrol,57992,474931,hatchback,automatic,maruti,celerio,1,477143,FALSE,FALSE,Yes,No,3,5
1138,hyundai i20,2014,diesel,128553,457071,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,Yes,1,2
1139,hyundai i10,2010,petrol,67892,340286,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,No,Yes,4,5
1140,maruti celerio,2017,petrol,45025,423491,hatchback,manual,maruti,celerio,1,429685,FALSE,FALSE,No,No,0,1
1141,hyundai i20,2010,petrol,72693,374743,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,Yes,No,5,5
1142,maruti s cross,2015,diesel,56672,676156,suv,manual,maruti,s cross,1,676256,FALSE,FALSE,No,No,0,2
1143,maruti swift dzire,2015,petrol,69826,568954,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,No,1,1
1144,toyota innova,2015,diesel,78800,1299228,suv,manual,toyota,innova,2,1327114,FALSE,FALSE,No,Yes,5,3
1145,fiat grand punto,2009,petrol,56137,285350,hatchback,manual,fiat,grand punto,1,,FALSE,FALSE,No,No,4,2
1146,ford ecosport,2014,petrol,62745,720928,suv,automatic,ford,ecosport,1,,FALSE,FALSE,No,No,0,5
1147,hyundai elite i20,2018,petrol,22993,720599,hatchback,manual,hyundai,elite i20,2,,FALSE,FALSE,Yes,No,1,4
1148,maruti vitara brezza,2018,diesel,27039,891407,suv,,maruti,vitara brezza,1,929776,FALSE,FALSE,No,Yes,1,2
1149,hyundai i20,2012,diesel,119610,379859,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,Yes,No,2,4
1150,hyundai santro xing,2007,petrol,69390,197219,hatchback,manual,hyundai,santro xing,2,218040,FALSE,FALSE,Yes,Yes,1,4
1151,honda city,2017,petrol,19307,777199,sedan,manual,honda,city,1,,FALSE,FALSE,Yes,No,0,5
1152,mahindra thar,2017,diesel,30589,790299,suv,manual,mahindra,thar,2,790399,FALSE,FALSE,Yes,No,1,4
1153,maruti swift,2010,petrol,75257,379799,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,No,1,4
1154,maruti swift,2016,petrol,51594,497471,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,Yes,4,2
1155,maruti eeco,2015,petrol,81268,304162,suv,manual,maruti,eeco,2,304262,FALSE,FALSE,No,No,0,2
1156,volkswagen polo,2011,diesel,100966,394507,hatchback,manual,volkswagen,polo,3,394607,FALSE,FALSE,No,No,5,2
1157,maruti swift dzire,2012,petrol,147268,456856,sedan,manual,maruti,swift dzire,2,,FALSE,FALSE,Yes,No,2,5
1158,hyundai i10,2013,petrol,63140,365315,hatchback,manual,hyundai,i10,1,464980,FALSE,FALSE,No,Yes,4,2
1159,hyundai i10,2011,petrol,106988,324183,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,Yes,3,5
1160,maruti swift,2019,petrol,30625,732099,hatchback,,maruti,swift,1,764265,FALSE,FALSE,Yes,Yes,5,5
1161,maruti alto k10,2011,petrol,85649,221758,hatchback,manual,maruti,alto k10,2,221858,FALSE,FALSE,Yes,No,5,5
1162,mahindra e2o,2014,electric,67449,269870,hatchback,manual,mahindra,e 20,1,,FALSE,FALSE,No,Yes,3,3
1163,hyundai elite i20,2018,petrol,27247,781334,hatchback,manual,hyundai,elite i20,1,967345,FALSE,FALSE,Yes,No,4,2
1164,maruti swift,2014,petrol,106319,458437,hatchback,manual,maruti,swift,1,458537,FALSE,FALSE,Yes,No,2,4
1165,maruti alto,2010,petrol,91313,209573,hatchback,manual,maruti,alto,2,213973,FALSE,FALSE,No,No,0,1
1166,maruti ertiga,2015,diesel,51013,720380,suv,manual,maruti,ertiga,1,720480,FALSE,FALSE,No,Yes,4,4
1167,maruti wagon r duo,2010,petrol & lpg,63163,230849,hatchback,manual,maruti,wagon r duo,1,,FALSE,FALSE,Yes,Yes,0,5
1168,maruti swift dzire,2016,petrol,52435,505757,sedan,manual,maruti,swift dzire,1,524980,FALSE,FALSE,Yes,No,0,2
1169,maruti vitara brezza,2016,diesel,85074,696071,suv,manual,maruti,vitara brezza,1,714563,FALSE,FALSE,No,Yes,0,2
1170,maruti swift,2014,petrol,69261,474073,hatchback,manual,maruti,swift,2,474173,FALSE,FALSE,No,No,4,1
1171,ford figo,2010,petrol,75066,265285,hatchback,manual,ford,figo,1,,FALSE,FALSE,Yes,No,1,2
1172,volkswagen polo,2016,petrol,69898,614203,hatchback,automatic,volkswagen,polo,1,800468,FALSE,TRUE,No,Yes,1,1
1173,honda amaze,2014,diesel,81253,466408,sedan,manual,honda,amaze,1,,FALSE,FALSE,Yes,No,5,5
1174,volkswagen vento,2011,diesel,96475,391070,sedan,manual,volkswagen,vento,2,,FALSE,FALSE,Yes,No,2,4
1175,maruti ritz,2010,petrol,137545,245599,hatchback,manual,maruti,ritz,2,248499,FALSE,FALSE,Yes,Yes,5,5
1176,tata hexa,2017,diesel,37975,1316029,suv,automatic,tata,hexa,2,1373480,FALSE,FALSE,Yes,No,1,1
1177,maruti alto,2008,petrol,76502,223910,hatchback,manual,maruti,alto,2,,FALSE,FALSE,No,No,0,4
1178,mahindra kuv100,2016,diesel,64633,401947,suv,manual,mahindra,kuv100,2,,FALSE,FALSE,Yes,Yes,1,1
1179,maruti ritz,2009,petrol,83374,277494,hatchback,manual,maruti,ritz,1,,FALSE,FALSE,Yes,Yes,1,4
1180,honda city,2016,petrol,33050,730991,sedan,,honda,city,2,,FALSE,FALSE,Yes,Yes,5,2
1181,volkswagen polo,2013,diesel,77659,442331,hatchback,manual,volkswagen,polo,1,442431,FALSE,FALSE,No,Yes,1,3
1182,maruti ertiga,2013,diesel,112013,577247,suv,manual,maruti,ertiga,2,,FALSE,FALSE,Yes,Yes,4,2
1183,volkswagen polo,2012,diesel,129687,380686,hatchback,manual,volkswagen,polo,1,380786,FALSE,FALSE,No,Yes,5,3
1184,maruti swift dzire,2015,petrol,58291,566675,sedan,manual,maruti,swift dzire,1,680106,FALSE,FALSE,Yes,No,1,3
1185,ford fiesta,2009,petrol,95319,286535,sedan,manual,ford,fiesta,2,,FALSE,FALSE,No,Yes,4,2
1186,maruti alto k10,2012,petrol,93827,231918,hatchback,manual,maruti,alto k10,3,236618,FALSE,FALSE,Yes,No,5,4
1187,maruti alto k10,2015,petrol,70098,287198,hatchback,manual,maruti,alto k10,1,336119,FALSE,FALSE,No,Yes,3,1
1188,fiat grand punto,2012,diesel,83863,280703,hatchback,manual,fiat,grand punto,2,,FALSE,FALSE,Yes,Yes,4,2
1189,hyundai venue,2019,petrol,2264,942451,suv,,hyundai,venue,1,942551,FALSE,FALSE,Yes,Yes,5,2
1190,hyundai i10,2009,petrol,94539,289168,hatchback,automatic,hyundai,i10,2,295668,FALSE,FALSE,Yes,No,5,2
1191,maruti wagon r,2009,petrol,63993,269951,hatchback,manual,maruti,wagon r,1,,FALSE,FALSE,Yes,Yes,4,2
1192,toyota innova crysta,2017,diesel,38228,1984244,suv,automatic,toyota,innova crysta,1,1984547,FALSE,FALSE,Yes,Yes,5,5
1193,hyundai elite i20,2015,petrol,76693,617483,hatchback,manual,hyundai,elite i20,1,,FALSE,FALSE,No,Yes,5,3
1194,toyota innova crysta,2017,diesel,36613,1859412,suv,automatic,toyota,innova crysta,2,1859715,FALSE,FALSE,No,Yes,3,1
1195,hyundai grand i10,2016,petrol,76685,463498,hatchback,manual,hyundai,grand i10,1,530965,FALSE,FALSE,Yes,No,5,3
1196,hyundai xcent,2014,petrol,97307,443628,sedan,manual,hyundai,xcent,1,,FALSE,FALSE,No,No,4,5
1197,maruti ritz,2009,petrol,93600,305386,hatchback,manual,maruti,ritz,1,383087,FALSE,FALSE,No,Yes,5,2
1198,volkswagen vento,2015,diesel,86812,628307,sedan,automatic,volkswagen,vento,1,,FALSE,FALSE,Yes,Yes,0,3
1199,hyundai elite i20,2016,petrol,62140,652812,hatchback,manual,hyundai,elite i20,1,,FALSE,FALSE,Yes,No,4,4
1200,hyundai i10,2010,petrol,90132,271114,hatchback,manual,hyundai,i10,3,,FALSE,FALSE,Yes,No,4,3
1201,mahindra xuv500,2016,diesel,81252,849954,luxury suv,manual,mahindra,xuv500,2,,FALSE,FALSE,Yes,No,3,5
1202,ford ecosport,2018,diesel,19487,957777,suv,,ford,ecosport,1,1013895,FALSE,FALSE,No,Yes,1,1
1203,maruti swift,2009,petrol,77463,404282,hatchback,manual,maruti,swift,1,411882,FALSE,FALSE,No,No,4,2
1204,maruti swift dzire,2013,petrol,78058,465988,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,No,4,1
1205,hyundai i20,2013,diesel,73269,442168,hatchback,manual,hyundai,i20,3,,FALSE,FALSE,No,No,1,1
1206,maruti vitara brezza,2018,diesel,31071,835377,suv,manual,maruti,vitara brezza,1,872066,FALSE,FALSE,Yes,Yes,1,3
1207,hyundai verna,2018,petrol,34000,1026420,sedan,automatic,hyundai,verna,1,1026521,FALSE,FALSE,No,Yes,1,2
1208,maruti alto,2011,petrol,102352,208755,hatchback,manual,maruti,alto,1,,FALSE,FALSE,No,No,2,5
1209,maruti wagon r 1.0,2011,petrol,94359,313699,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,No,Yes,3,2
1210,hyundai creta,2017,diesel,71208,1109846,suv,,hyundai,creta,1,,FALSE,FALSE,Yes,Yes,0,4
1211,hyundai santa fe,2015,diesel,66961,1584582,luxury suv,automatic,hyundai,santa fe,1,1584683,FALSE,FALSE,No,Yes,5,3
1212,maruti ritz,2014,petrol,86798,367999,hatchback,manual,maruti,ritz,1,368099,FALSE,FALSE,Yes,No,0,5
1213,hyundai grand i10,2015,petrol,77606,492964,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,No,Yes,4,3
1214,mahindra thar,2019,diesel,5652,1041520,suv,manual,mahindra,thar,1,1041621,FALSE,FALSE,No,Yes,2,4
1215,honda city,2015,petrol,65102,599711,sedan,manual,honda,city,2,604211,FALSE,FALSE,Yes,No,0,1
1216,volkswagen vento,2010,petrol,89162,414934,sedan,automatic,volkswagen,vento,1,,FALSE,FALSE,No,Yes,3,4
1217,maruti swift dzire,2011,diesel,91825,456622,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,No,4,4
1218,hyundai santro xing,2008,petrol,104288,263222,hatchback,manual,hyundai,santro xing,2,,FALSE,FALSE,No,Yes,5,4
1219,hyundai elite i20,2015,petrol,81374,591802,hatchback,manual,hyundai,elite i20,1,,FALSE,FALSE,No,No,0,2
1220,maruti zen estilo,2010,petrol,89736,226030,hatchback,manual,maruti,zen estilo,2,,FALSE,FALSE,Yes,No,3,4
1221,fiat grand punto,2014,diesel,78875,392181,hatchback,manual,fiat,grand punto,1,,FALSE,FALSE,No,Yes,1,5
1222,toyota innova,2009,diesel,68496,735418,suv,manual,toyota,innova,2,765358,FALSE,FALSE,No,No,0,3
1223,maruti swift,2012,petrol,83637,413279,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,Yes,2,4
1224,hyundai xcent,2014,petrol,78401,460053,sedan,manual,hyundai,xcent,2,,FALSE,FALSE,No,Yes,5,1
1225,maruti swift,2010,petrol,106323,335170,hatchback,manual,maruti,swift,2,335270,FALSE,FALSE,No,Yes,3,4
1226,hyundai new elantra,2013,petrol,98614,580649,luxury sedan,automatic,hyundai,new elantra,1,,FALSE,FALSE,Yes,No,2,1
1227,hyundai elite i20,2014,petrol,82997,496702,hatchback,manual,hyundai,elite i20,2,,FALSE,FALSE,No,Yes,5,4
1228,hyundai grand i10,2015,petrol,72459,426590,hatchback,manual,hyundai,grand i10,2,,FALSE,FALSE,Yes,Yes,4,5
1229,mahindra xuv500,2013,diesel,73656,800299,luxury suv,manual,mahindra,xuv500,1,818611,FALSE,FALSE,Yes,No,4,1
1230,maruti swift dzire,2014,diesel,87454,528317,sedan,manual,maruti,swift dzire,2,528417,FALSE,FALSE,Yes,No,1,2
1231,hyundai i20,2010,diesel,91409,345699,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,Yes,3,2
1232,hyundai i10,2010,petrol,97299,329074,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,No,No,3,5
1233,maruti swift dzire,2011,petrol,137461,282463,sedan,manual,maruti,swift dzire,1,282563,FALSE,FALSE,Yes,Yes,3,4
1234,maruti swift dzire,2014,diesel,75129,470111,sedan,manual,maruti,swift dzire,1,470211,FALSE,FALSE,Yes,Yes,1,5
1235,maruti swift dzire,2012,diesel,97067,504190,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,Yes,No,2,4
1236,maruti swift,2012,diesel,98650,425182,hatchback,manual,maruti,swift,2,425282,FALSE,FALSE,No,Yes,3,5
1237,mahindra xuv500,2015,diesel,41688,945845,luxury suv,manual,mahindra,xuv500,1,946911,FALSE,FALSE,Yes,No,3,1
1238,maruti swift,2011,diesel,103268,404020,hatchback,manual,maruti,swift,2,451661,FALSE,FALSE,No,Yes,5,2
1239,mahindra xuv500,2015,diesel,34172,1101087,luxury suv,manual,mahindra,xuv500,1,,FALSE,FALSE,Yes,No,2,2
1240,maruti swift dzire,2009,petrol,147270,349155,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,Yes,No,2,4
1241,maruti swift,2013,petrol,92412,454018,hatchback,manual,maruti,swift,1,,FALSE,FALSE,No,No,1,4
1242,toyota innova,2012,diesel,93262,511829,suv,manual,toyota,innova,1,612490,FALSE,FALSE,Yes,Yes,5,4
1243,skoda laura,2012,diesel,104404,561702,luxury sedan,automatic,skoda,laura,2,561802,FALSE,FALSE,Yes,No,5,4
1244,maruti ritz,2012,diesel,112264,334067,hatchback,manual,maruti,ritz,1,404023,FALSE,TRUE,Yes,Yes,4,3
1245,maruti wagon r 1.0,2013,petrol,115055,333502,hatchback,manual,maruti,wagon r 1.0,2,333602,FALSE,FALSE,No,No,3,5
1246,chevrolet spark,2012,petrol,78206,217834,hatchback,manual,chevrolet,spark,2,,FALSE,FALSE,No,No,5,3
1247,mahindra xuv500,2016,diesel,76930,957377,luxury suv,manual,mahindra,xuv500,2,958685,FALSE,FALSE,Yes,No,3,3
1248,toyota innova,2014,diesel,60304,1483019,suv,manual,toyota,innova,2,1552248,FALSE,FALSE,No,Yes,1,5
1249,honda city,2009,petrol,142543,323624,sedan,manual,honda,city,1,326624,FALSE,FALSE,No,Yes,4,4
1250,hyundai i20,2010,petrol,114547,363928,hatchback,manual,hyundai,i20,1,,FALSE,FALSE,No,No,3,2
1251,maruti ritz,2016,petrol,77962,507518,hatchback,manual,maruti,ritz,1,611239,FALSE,TRUE,No,No,2,2
1252,mahindra xuv500,2016,diesel,109225,940588,luxury suv,manual,mahindra,xuv500,1,977433,FALSE,FALSE,No,No,0,5
1253,hyundai i20,2010,petrol,103131,393898,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,No,Yes,3,3
1254,hyundai santro xing,2007,petrol,126399,214912,hatchback,manual,hyundai,santro xing,1,,FALSE,FALSE,No,Yes,5,2
1255,ford figo,2010,diesel,128489,292415,hatchback,manual,ford,figo,1,,FALSE,FALSE,Yes,Yes,1,5
1256,toyota innova,2010,diesel,84284,775485,suv,manual,toyota,innova,1,,FALSE,FALSE,No,No,1,2
1257,maruti ignis,2018,petrol,73455,564185,hatchback,manual,maruti,ignis,1,,FALSE,FALSE,No,Yes,1,2
1258,tata indica vista,2009,diesel,150758,199428,hatchback,manual,tata,indica vista,1,,FALSE,FALSE,No,No,5,5
1259,maruti omni,2015,petrol,80931,280261,suv,manual,maruti,omni,2,,FALSE,FALSE,No,Yes,3,5
1260,volkswagen polo,2015,petrol,90272,540486,hatchback,manual,volkswagen,polo,1,546182,FALSE,FALSE,No,No,0,4
1261,toyota innova,2008,diesel,118781,527388,suv,manual,toyota,innova,2,533778,FALSE,FALSE,No,Yes,0,2
1262,toyota innova,2009,diesel,143765,698147,suv,manual,toyota,innova,2,698247,FALSE,FALSE,Yes,No,0,4
1263,maruti wagon r duo,2008,petrol & lpg,127994,208899,hatchback,manual,maruti,wagon r duo,1,238901,FALSE,FALSE,Yes,Yes,5,5
1264,maruti swift,2008,diesel,124921,266606,hatchback,manual,maruti,swift,2,,FALSE,FALSE,Yes,No,2,2
1265,volkswagen vento,2013,petrol,113856,396959,sedan,manual,volkswagen,vento,2,397059,FALSE,FALSE,No,Yes,0,1
1266,maruti alto 800,2013,petrol,107100,291180,hatchback,manual,maruti,alto 800,2,,FALSE,FALSE,No,No,3,3
1267,maruti swift dzire,2012,petrol,115096,417870,sedan,manual,maruti,swift dzire,1,417970,FALSE,FALSE,Yes,No,5,4
1268,maruti swift,2012,petrol,119930,409755,hatchback,manual,maruti,swift,2,,FALSE,FALSE,Yes,No,5,1
1269,maruti swift,2009,diesel,194924,228863,hatchback,manual,maruti,swift,2,228963,FALSE,FALSE,Yes,Yes,3,3
1270,mercedes benz c class,2012,diesel,83486,1228696,luxury sedan,manual,mercedes benz,c class,2,1236473,FALSE,FALSE,Yes,No,3,5
1271,tata indica vista,2012,diesel,95484,332775,hatchback,manual,tata,indica vista,2,,FALSE,FALSE,No,No,4,5
1272,renault duster,2013,diesel,141347,548125,suv,manual,renault,duster,1,650306,FALSE,FALSE,Yes,No,3,3
1273,maruti ritz,2011,petrol,98931,396605,hatchback,manual,maruti,ritz,2,397705,FALSE,FALSE,Yes,Yes,4,4
1274,hyundai i20,2011,petrol,138398,350572,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,Yes,No,5,2
1275,maruti swift dzire,2012,diesel,130343,585088,sedan,manual,maruti,swift dzire,1,,FALSE,FALSE,No,No,5,5
1276,maruti baleno,2015,petrol,157108,524680,hatchback,manual,maruti,baleno,1,,FALSE,FALSE,No,No,1,2
1277,maruti swift,2016,petrol,123507,512938,hatchback,manual,maruti,swift,1,,FALSE,FALSE,No,No,2,1
1278,maruti alto 800,2013,petrol,117275,234629,hatchback,manual,maruti,alto 800,1,234729,FALSE,FALSE,No,Yes,1,3
1279,hyundai verna,2013,petrol,160483,488374,sedan,manual,hyundai,verna,2,,FALSE,FALSE,No,No,1,1
1280,mahindra xuv500,2014,diesel,99272,770829,luxury suv,manual,mahindra,xuv500,2,770929,FALSE,FALSE,Yes,Yes,4,1
1281,maruti swift dzire,2014,diesel,110838,501071,sedan,manual,maruti,swift dzire,1,515392,FALSE,FALSE,No,No,4,5
1282,toyota innova,2012,diesel,128797,1053832,suv,manual,toyota,innova,2,,FALSE,FALSE,Yes,No,2,3
1283,maruti ertiga,2015,diesel,129011,728668,suv,manual,maruti,ertiga,2,,FALSE,FALSE,No,No,2,5
1284,renault duster,2016,diesel,130303,693299,suv,automatic,renault,duster,1,838324,FALSE,TRUE,Yes,No,4,1
1285,tata nano,2014,petrol,26357,166335,hatchback,manual,tata,nano,1,,FALSE,FALSE,Yes,Yes,1,1
1286,maruti wagon r stingray,2013,petrol,38167,323106,hatchback,manual,maruti,wagon r stingray,1,,TRUE,FALSE,No,Yes,1,1
1287,hyundai xcent,2014,petrol,28483,453419,sedan,manual,hyundai,xcent,1,,FALSE,FALSE,No,Yes,0,4
1288,maruti alto 800,2016,petrol,10478,279774,hatchback,manual,maruti,alto 800,1,,FALSE,FALSE,Yes,Yes,4,1
1289,nissan sunny,2013,petrol,32429,492128,sedan,,nissan,sunny,2,,FALSE,FALSE,No,Yes,1,3
1290,hyundai elite i20,2014,petrol,32986,567862,hatchback,manual,hyundai,elite i20,1,570552,FALSE,FALSE,No,No,3,5
1291,maruti alto k10,2016,petrol,9893,395818,hatchback,manual,maruti,alto k10,1,,FALSE,FALSE,No,No,4,4
1292,hyundai i10,2014,petrol,21287,400190,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,No,4,5
1293,tata nano,2014,petrol,34394,175130,hatchback,manual,tata,nano,1,175230,FALSE,FALSE,Yes,Yes,5,4
1294,renault kwid,2016,petrol,19682,387553,hatchback,,renault,kwid,1,,FALSE,FALSE,No,No,3,2
1295,hyundai i10,2013,petrol,14350,410600,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,No,Yes,0,2
1296,ford figo,2013,diesel,48229,284161,hatchback,manual,ford,figo,2,,FALSE,FALSE,Yes,Yes,2,2
1297,hyundai i10,2014,petrol,23271,393326,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,No,2,2
1298,hyundai eon,2016,petrol,19484,357838,hatchback,manual,hyundai,eon,1,,FALSE,FALSE,No,No,3,2
1299,hyundai eon,2014,petrol,24444,306099,hatchback,manual,hyundai,eon,2,,FALSE,FALSE,No,Yes,3,2
1300,renault triber,2020,petrol,2151,690459,suv,,renault,triber,1,720540,FALSE,FALSE,Yes,Yes,2,3
1301,toyota etios,2015,petrol,33947,467974,sedan,manual,toyota,etios,2,486675,FALSE,FALSE,No,Yes,2,5
1302,maruti alto,2011,petrol,17001,315989,hatchback,manual,maruti,alto,1,,FALSE,FALSE,No,No,5,4
1303,hyundai i10,2013,petrol,34019,368576,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,No,Yes,1,3
1304,maruti alto 800,2012,petrol,7044,254211,hatchback,manual,maruti,alto 800,2,254311,FALSE,FALSE,Yes,No,1,2
1305,renault kwid,2015,petrol,12427,364108,hatchback,manual,renault,kwid,1,,FALSE,FALSE,No,No,1,5
1306,maruti ritz,2010,petrol,66102,344842,hatchback,manual,maruti,ritz,2,,FALSE,FALSE,No,Yes,5,3
1307,hyundai grand i10,2015,petrol,32836,506215,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,No,No,4,3
1308,maruti swift,2015,petrol,30606,589982,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,No,4,4
1309,hyundai grand i10,2015,petrol,11798,482129,hatchback,manual,hyundai,grand i10,1,,FALSE,FALSE,Yes,No,1,3
1310,hyundai i10,2012,petrol,34162,368170,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,No,No,3,5
1311,maruti wagon r 1.0,2014,petrol,37253,390069,hatchback,manual,maruti,wagon r 1.0,1,,FALSE,FALSE,Yes,Yes,4,1
1312,hyundai i20,2011,petrol,24700,399860,hatchback,manual,hyundai,i20,2,,FALSE,FALSE,Yes,Yes,5,4
1313,toyota etios liva,2011,petrol,33609,387716,hatchback,manual,toyota,etios liva,1,,FALSE,FALSE,Yes,Yes,1,2
1314,maruti eeco,2016,petrol,34733,382983,suv,manual,maruti,eeco,2,,FALSE,FALSE,Yes,Yes,3,5
1315,hyundai eon,2014,petrol,24024,324224,hatchback,manual,hyundai,eon,3,,FALSE,FALSE,No,Yes,0,4
1316,tata tigor,2018,petrol,6319,593389,sedan,manual,tata,tigor,1,,FALSE,FALSE,Yes,Yes,5,3
1317,maruti swift,2015,petrol,26447,556609,hatchback,manual,maruti,swift,1,563195,FALSE,FALSE,No,Yes,5,1
1318,hyundai i10,2012,petrol,51798,338333,hatchback,manual,hyundai,i10,2,,FALSE,FALSE,Yes,Yes,1,2
1319,ford figo,2012,petrol,59439,297699,hatchback,manual,ford,figo,3,,FALSE,FALSE,Yes,No,2,3
1320,hyundai i10,2010,petrol,46077,377676,hatchback,manual,hyundai,i10,1,377776,FALSE,FALSE,No,No,5,1
1321,maruti wagon r 1.0,2011,petrol,23688,335231,hatchback,manual,maruti,wagon r 1.0,2,,FALSE,FALSE,Yes,Yes,2,5
1322,tata nano,2016,petrol,5063,292664,hatchback,automatic,tata,nano,1,,FALSE,FALSE,No,No,3,3
1323,maruti alto 800,2013,petrol,33334,256587,hatchback,manual,maruti,alto 800,1,,FALSE,FALSE,Yes,Yes,0,2
1324,hyundai santro xing,2012,petrol,67714,245574,hatchback,manual,hyundai,santro xing,1,,FALSE,FALSE,Yes,Yes,0,5
1325,honda wr-v,2017,petrol,26136,735489,suv,manual,honda,wr-v,1,765731,FALSE,FALSE,Yes,Yes,5,3
1326,hyundai creta,2017,petrol,17259,1197914,suv,automatic,hyundai,creta,1,,FALSE,FALSE,No,Yes,2,5
1327,maruti baleno,2018,petrol,17306,803352,hatchback,automatic,maruti,baleno,1,818744,FALSE,FALSE,Yes,No,2,4
1328,hyundai verna,2014,petrol,49713,572699,sedan,manual,hyundai,verna,1,,FALSE,FALSE,No,Yes,4,1
1329,maruti alto k10,2017,petrol,25199,370870,hatchback,,maruti,alto k10,1,,FALSE,FALSE,No,Yes,4,3
1330,hyundai grand i10,2016,petrol,38561,526468,hatchback,manual,hyundai,grand i10,2,,FALSE,FALSE,No,No,5,4
1331,maruti alto k10,2016,petrol,31393,344446,hatchback,manual,maruti,alto k10,1,,FALSE,FALSE,Yes,Yes,5,2
1332,hyundai elite i20,2014,petrol,43623,538270,hatchback,manual,hyundai,elite i20,1,,FALSE,FALSE,No,No,4,4
1333,maruti new  wagon-r,2019,petrol,13482,494596,,,maruti,new  wagon-r,1,520097,FALSE,FALSE,No,No,1,1
1334,maruti swift,2010,petrol,43093,362329,hatchback,manual,maruti,swift,1,,FALSE,FALSE,Yes,Yes,0,5
1335,hyundai i10,2016,petrol,30212,408951,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,Yes,2,5
1336,maruti alto k10,2011,petrol,42935,230564,hatchback,manual,maruti,alto k10,2,,FALSE,FALSE,Yes,Yes,2,3
1337,maruti swift,2015,petrol,21156,563799,hatchback,manual,maruti,swift,1,566374,FALSE,FALSE,No,Yes,3,2
1338,renault kwid,2018,petrol,19093,410111,hatchback,,renault,kwid,2,,FALSE,FALSE,No,Yes,0,1
1339,tata nano,2015,petrol,8664,214096,hatchback,manual,tata,nano,1,217496,FALSE,FALSE,No,No,0,2
1340,maruti wagon r 1.0,2010,petrol,52160,287604,hatchback,manual,maruti,wagon r 1.0,1,287704,FALSE,FALSE,Yes,Yes,3,4
1341,honda city,2011,petrol,97999,450761,sedan,manual,honda,city,1,,FALSE,FALSE,No,No,0,1
1342,hyundai i10,2010,petrol,52027,318062,hatchback,manual,hyundai,i10,1,,FALSE,FALSE,Yes,Yes,3,4
